Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
001010010100111100100000001000010010011101101101,0,8,[(1  0)  (3  3)  (0  3)  (2  0)  (5  3)  (2  1)  (4  3)  (2  5)],2,6,100111001111001100100111100011001110110010111110,1001110010011111,17.497,430,1.358951949924335
001011010100001110010100000111000010001111111000,1,4,[(3  7)  (4  0)  (5  6)  (4  4)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,2.836,431,1.2594193344107758
010101111000010110101000001010011100000010010000,1,7,[(5  5)  (0  4)  (2  3)  (1  1)  (5  2)  (1  3)  (4  6)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,3.994,438,1.3988597260235178
000101000010110101111001011000000000101101110110,1,6,[(4  2)  (1  3)  (4  0)  (0  6)  (2  6)  (1  6)],3,10,011011101101010100000110110111101111110001101000,0110111000000101,1.732,439,0.9354173799493236
101000010110000111000101010000001101001100000000,1,6,[(3  4)  (3  3)  (0  5)  (5  4)  (2  6)  (4  5)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.053,444,1.2862408004943784
000110001110100000011010110000101000011010000001,0,8,[(5  2)  (5  3)  (2  5)  (3  2)  (4  7)  (3  3)  (5  5)  (4  4)],1,1,101101011000111111110010000111101110100000011000,1011010100000110,2.102,449,1.32378869595716
000001101100110000000100000000011100000011011000,1,5,[(0  1)  (1  7)  (0  4)  (2  1)  (4  5)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,2.161,450,1.0936218329122034
010000001000011111001000010100111100000011000011,0,8,[(4  4)  (2  3)  (5  2)  (0  3)  (0  5)  (1  1)  (2  6)  (4  2)],0,13,010101001100011111011010010100111110100011100011,0101010001110001,10.202,453,1.0940153247631892
010100111001110110011100011010011100001000111100,0,6,[(0  4)  (3  3)  (2  1)  (2  6)  (4  4)  (1  1)],0,1,010110111101110111011110011110011100101000111100,0101101101001111,0.056,456,1.1985083598863595
000000000011000001111100000100000000000000000000,0,8,[(4  7)  (1  7)  (1  0)  (0  1)  (1  6)  (0  4)  (3  6)  (1  5)],2,0,000100101110110100111110010010001000000000000000,0001001000000000,17.361,461,0.8304183313952831
111100100010100111010001001100101010101001010000,1,4,[(4  7)  (0  5)  (0  7)  (3  5)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,0.033,467,1.263190249737413
001100001011011100111010000101111001101000101000,1,7,[(0  5)  (5  6)  (0  6)  (4  1)  (3  2)  (4  5)  (1  1)],0,0,001101101111011100111010001101111101111000101010,0011011001010101,0.623,469,0.7815064899618982
